"location","name","beta","cancap","cform","dform","idstart","idmax","iharv","laimax","laihar","rootmax","rpin","zalp","fawc","soiltype","hmax","atten","rsmin","laimin","zhmin","rootinit","zdatemin","l_pnr","laic","rootdep","hcrop","rsurf","ncrop","idstart2","zdatemin2","idmax2","iharv2","rname","switch","maxint","waten"
"Önnestad","Cereals, spring",0.200000002980232,2,2,0.300000011920929,116,165,238,4,1,0.5,60,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,117,145,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1.39999997615814
"Önnestad","Cereals, winter",0.100000001490116,3,2,0.200000002980232,265,167,233,5,1,0.600000023841858,60,1,NA,"loamy sand over sand",NA,NA,NA,1,0.200000002980232,0.200000002980232,77,144,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3.79999995231628
"Önnestad","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,NA,"loamy sand over sand",NA,0.600000023841858,NA,NA,NA,NA,NA,165,5,0.5,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,NA,1.39999997615814
"Önnestad","Legumes",0.200000002980232,2,2,0.300000011920929,113,171,222,4,2,0.5,67,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,114,152,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1.39999997615814
"Önnestad","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,121,168,243,4,1,0.5,60,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,122,147,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3.79999995231628
"Önnestad","Oil seed rape, winter",0.100000001490116,2,2,0.200000002980232,246,156,221,4,1,0.600000023841858,60,1,NA,"loamy sand over sand",NA,NA,NA,1,0.200000002980232,0.200000002980232,60,146,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3.79999995231628
"Önnestad","Pome/stone fruit",0.200000002980232,2,1.5,0.699999988079071,110,186,303,4,0.00999999977648258,0.699999988079071,60,2,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.689999997615814,111,153,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmeni",2,NA,1.39999997615814
"Önnestad","Potatoes",0.5,2,1.70000004768372,0.300000011920929,142,242,266,4,1,0.400000005960464,75,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,143,149,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmenp",2,NA,0.800000011920929
"Önnestad","Strawberries",0.5,1,1.5,0.300000011920929,110,182,305,3,0.00999999977648258,0.300000011920929,75,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.28999999165535,111,161,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmeni",2,NA,0.800000011920929
"Önnestad","Sugar beets",0.200000002980232,2,1.70000004768372,1,124,209,298,4,4,0.699999988079071,67,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,125,148,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1.39999997615814
"Önnestad","Vegetables, bulb",0.5,1,1.5,1,113,191,256,3,3,0.300000011920929,75,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,114,151,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmenp",2,NA,0.800000011920929
"Önnestad","Vegetables, root",0.5,1,1.5,1,152,201,293,3,3,0.5,75,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,153,150,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmenp",2,NA,0.800000011920929
"Heia","Bush berries",0.5,1,1.5,0.300000011920929,113,185,293,3,0.00999999977648258,0.300000011920929,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.28999999165535,114,177,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0.800000011920929
"Heia","Cereals, spring",0.200000002980232,2,2,0.300000011920929,132,182,218,5,1,0.600000023841858,60,1,NA,"sandy loam",NA,NA,NA,0.100000001490116,0.00999999977648258,0.100000001490116,132,167,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,10
"Heia","Cereals, winter",0.100000001490116,3,2,0.200000002980232,265,180,245,5,1,0.800000011920929,60,1,NA,"sandy loam",NA,NA,NA,1,0.200000002980232,0.300000011920929,120,166,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,10
"Heia","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,NA,"sandy loam",NA,0.600000023841858,NA,NA,NA,NA,NA,180,5,0.5,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,NA,1.39999997615814
"Heia","Legumes",0.200000002980232,2,2,0.300000011920929,130,180,232,4,2,0.5,67,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,179,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1.39999997615814
"Heia","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,130,176,247,4,1,0.5,60,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,170,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3.79999995231628
"Heia","Pome/stone fruit",0.5,1,1.5,0.300000011920929,113,185,293,3,0.00999999977648258,0.300000011920929,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.28999999165535,114,178,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0.800000011920929
"Heia","Potatoes",0.5,2,1.70000004768372,0.300000011920929,161,227,263,4,1,0.400000005960464,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,162,171,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0.800000011920929
"Heia","Strawberries",0.5,1,1.5,0.300000011920929,113,185,293,3,0.00999999977648258,0.300000011920929,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.28999999165535,114,176,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0.800000011920929
"Heia","Vegetables, bulb",0.5,1,1.5,1,118,180,240,4,2,0.5,67,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,119,175,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1.39999997615814
"Heia","Vegetables, leafy",0.200000002980232,2,1.5,1,135,210,258,4,4,0.800000011920929,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,136,174,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5.09999990463257
"Heia","Vegetables, root",0.5,1,1.5,1,104,160,199,3,3,0.5,75,1,NA,"sandy loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,105,173,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0.800000011920929
"Rustad","Cereals, spring",0.200000002980232,2,2,0.300000011920929,132,182,218,5,1,0.600000023841858,60,1,NA,"silty clay loam",NA,NA,NA,0.100000001490116,0.00999999977648258,0.100000001490116,132,169,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,10
"Rustad","Cereals, winter",0.100000001490116,3,2,0.200000002980232,265,180,245,5,1,0.800000011920929,60,1,NA,"silty clay loam",NA,NA,NA,1,0.200000002980232,0.300000011920929,120,168,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,10
